request_title,category,subcategory,urgency_level,priority_label,estimated_people_affected,location_city,location_state,deadline_hours,required_skills,required_items,volunteers_needed,is_medical_emergency,is_disaster_related,transport_required,contact_preference,task_type,effort_level,min_experience_level,shift_type,need_type,family_count,children_involved,elderly_involved,request_description
Mental Health Support – Hyderabad,mental_health,trauma_counseling,high,High,200,Hyderabad,Telangana,8,counseling,,0,0,1,0,whatsapp,trauma_counseling,medium,experienced,any,trauma_counseling,0,0,0,Trauma counseling needed for 200 disaster survivors in Hyderabad. Need certified counselors
Education Volunteer Request – Surat,education,tutoring,low,Low,0,Surat,Gujarat,168,teaching,,75,0,0,0,email,tutoring,medium,regular,any,tutoring,0,1,0,Need 75 volunteer teachers for free coaching classes for underprivileged children in Surat
Food Distribution Need – Ahmedabad,food_relief,food_distribution,high,High,0,Ahmedabad,Gujarat,24,food_distribution|logistics,,150,0,0,0,email,food_distribution,medium,beginner,morning,food_distribution,0,0,0,Need 150 volunteers for food distribution in Ahmedabad tomorrow morning
Childcare Support – Surat,childcare,childcare_support,medium,Medium,75,Surat,Gujarat,48,teaching|counseling,,7,0,0,0,whatsapp,childcare_support,medium,beginner,any,childcare_support,0,1,0,Childcare support needed at relief camp in Surat for 75 children while parents work. Situation is tomorrow.
Shelter Support – Chennai,shelter,winter_relief,medium,Medium,200,Chennai,Tamil Nadu,48,,blankets|warm_clothing,0,0,0,0,whatsapp,winter_relief,medium,beginner,any,winter_relief,0,0,0,Winter clothing and blankets needed for 200 homeless people in Chennai
Mental Health Support – Lucknow,mental_health,awareness_camp,low,Low,0,Lucknow,Uttar Pradesh,72,counseling|teaching,,20,0,0,0,whatsapp,awareness_camp,medium,beginner,weekend,awareness_camp,0,0,0,Mental health awareness camp in Lucknow needs 20 volunteer counselors this weekend. Situation is this month.
Disaster Relief Support – Bhopal,disaster_relief,earthquake_relief,critical,Critical,150,Bhopal,Madhya Pradesh,4,,food|medicine|first_aid,0,1,1,1,email,earthquake_relief,medium,beginner,any,earthquake_relief,0,0,0,Earthquake relief camp in Bhopal. 150 survivors need medical aid and food within 4 hours. Situation is life-threatening.
Disaster Relief Support – Ahmedabad,disaster_relief,rescue_operation,critical,Critical,30,Ahmedabad,Gujarat,24,rescue|driving,,0,0,1,1,email,rescue_operation,medium,beginner,any,rescue_operation,0,0,0,Landslide in Ahmedabad has displaced 30 people. Need rescue and relief within 24 hours
Education Volunteer Request – Hyderabad,education,supplies_distribution,low,Low,20,Hyderabad,Telangana,72,,school_supplies|books,2,0,0,0,phone,supplies_distribution,medium,beginner,any,supplies_distribution,0,1,0,Distributing school supplies to 20 children in Hyderabad. Need 2 volunteers. Situation is no rush.
Women Safety Support – Mumbai,women_safety,shelter_support,high,High,150,Mumbai,Maharashtra,12,counseling,,0,0,0,0,email,shelter_support,medium,beginner,any,shelter,0,1,0,Safe shelter needed for 150 women and children in Mumbai escaping domestic violence. Situation is today.
Medical Assistance Request – Guwahati,medical,blood_donation,critical,Critical,0,Guwahati,Assam,6,,blood_donation,200,1,0,0,whatsapp,blood_donation,medium,beginner,any,blood_donation,0,0,0,Need 200 blood donors urgently in Guwahati. Patient in critical condition
Food Distribution Need – Guwahati,food_relief,community_kitchen,medium,Medium,0,Guwahati,Assam,48,food_distribution,,100,0,0,0,email,community_kitchen,medium,beginner,any,community_kitchen,0,0,0,Community kitchen in Guwahati needs 100 volunteers to cook meals for homeless people
Awareness Campaign – Visakhapatnam,awareness,health_awareness,medium,Medium,0,Visakhapatnam,Andhra Pradesh,72,teaching|counseling,,200,0,0,0,phone,health_awareness,medium,beginner,any,health_awareness,0,0,0,Awareness campaign about dengue fever prevention in Visakhapatnam. Need 200 volunteers
Water & Sanitation Help – Nagpur,water_sanitation,water_distribution,high,High,1000,Nagpur,Maharashtra,72,,water_cans,20,0,0,1,phone,water_distribution,medium,beginner,any,water_distribution,0,0,0,Water shortage in Nagpur. Need 20 volunteers for water distribution to 1000 people
Childcare Support – Pune,childcare,orphan_support,high,High,10,Pune,Maharashtra,8,counseling|teaching,,2,0,1,0,phone,orphan_support,medium,beginner,any,orphan_support,0,1,0,Need volunteers to care for 10 orphaned children in Pune disaster relief camp. Situation is urgently.
Awareness Campaign – Indore,awareness,health_awareness,medium,Medium,0,Indore,Madhya Pradesh,72,teaching|counseling,,75,0,0,0,phone,health_awareness,medium,beginner,any,health_awareness,0,0,0,Awareness campaign about dengue fever prevention in Indore. Need 75 volunteers
Mental Health Support – Visakhapatnam,mental_health,trauma_counseling,high,High,75,Visakhapatnam,Andhra Pradesh,24,counseling,,0,0,1,0,whatsapp,trauma_counseling,medium,experienced,any,trauma_counseling,0,0,0,Trauma counseling needed for 75 disaster survivors in Visakhapatnam. Need certified counselors
Logistics Volunteer Need – Indore,logistics,relief_transport,high,High,0,Indore,Madhya Pradesh,4,driving|logistics,,150,0,0,1,email,relief_transport,medium,beginner,any,relief_transport,0,0,0,Relief materials stuck at warehouse in Indore. Need 150 transport volunteers with vehicles within 4 hours
Mental Health Support – Kochi,mental_health,awareness_camp,low,Low,0,Kochi,Kerala,72,counseling|teaching,,20,0,0,0,whatsapp,awareness_camp,medium,beginner,weekend,awareness_camp,0,0,0,Mental health awareness camp in Kochi needs 20 volunteer counselors this weekend. Situation is next week.
Food Distribution Need – Patna,food_relief,community_kitchen,medium,Medium,0,Patna,Bihar,48,food_distribution,,30,0,0,0,whatsapp,community_kitchen,medium,beginner,any,community_kitchen,0,0,0,Community kitchen in Patna needs 30 volunteers to cook meals for homeless people
Animal Welfare Help – Pune,animal_welfare,shelter_support,low,Low,0,Pune,Maharashtra,72,,,75,0,0,0,phone,shelter_support,medium,beginner,any,shelter_support,0,0,0,Animal shelter in Pune needs 75 volunteers for feeding and care
Animal Welfare Help – Patna,animal_welfare,shelter_support,low,Low,0,Patna,Bihar,72,,,200,0,0,0,email,shelter_support,medium,beginner,any,shelter_support,0,0,0,Animal shelter in Patna needs 200 volunteers for feeding and care
Elderly Care Support – Nashik,elderly_care,care_home_support,medium,Medium,0,Nashik,Maharashtra,48,counseling|medical,,50,0,0,0,email,care_home_support,medium,beginner,any,care_home_support,0,0,1,Elderly care home in Nashik needs 50 volunteers for daily assistance and companionship. Situation is soon.
Medical Assistance Request – Bhopal,medical,medical_camp,medium,Medium,0,Bhopal,Madhya Pradesh,72,medical,,150,0,0,0,whatsapp,medical_camp,medium,experienced,weekend,medical_camp,0,0,0,Free medical camp in Bhopal needs 150 volunteer doctors and paramedics this weekend. Situation is within 48 hours.
Logistics Volunteer Need – Guwahati,logistics,relief_transport,high,High,0,Guwahati,Assam,48,driving|logistics,,20,0,0,1,email,relief_transport,medium,beginner,any,relief_transport,0,0,0,Relief materials stuck at warehouse in Guwahati. Need 20 transport volunteers with vehicles within 48 hours. Situation is today.
Shelter Support – Delhi,shelter,winter_relief,medium,Medium,30,Delhi,Delhi,48,,blankets|warm_clothing,0,0,0,0,whatsapp,winter_relief,medium,beginner,any,winter_relief,0,0,0,Winter clothing and blankets needed for 30 homeless people in Delhi. Situation is soon.
Cleanup Drive – Hyderabad,cleanup,community_cleanup,low,Low,0,Hyderabad,Telangana,96,cleanup,,75,0,0,0,whatsapp,community_cleanup,medium,beginner,weekend,community_cleanup,0,0,0,Community cleanliness drive in Hyderabad this Sunday. Need 75 enthusiastic volunteers. Situation is this month.
Disaster Relief Support – Nagpur,disaster_relief,cyclone_relief,critical,Critical,800,Nagpur,Maharashtra,48,,food|shelter|blankets,0,0,1,1,phone,cyclone_relief,medium,beginner,any,cyclone_relief,200,0,0,Cyclone affected 200 families in Nagpur need immediate shelter and food. Urgent help needed in 48 hours. Situation is immediately.
Childcare Support – Chennai,childcare,childcare_support,medium,Medium,20,Chennai,Tamil Nadu,48,teaching|counseling,,2,0,0,0,phone,childcare_support,medium,beginner,any,childcare_support,0,1,0,Childcare support needed at relief camp in Chennai for 20 children while parents work
Medical Assistance Request – Bengaluru,medical,medical_camp,medium,Medium,0,Bengaluru,Karnataka,72,medical,,20,0,0,0,email,medical_camp,medium,experienced,weekend,medical_camp,0,0,0,Free medical camp in Bengaluru needs 20 volunteer doctors and paramedics this weekend. Situation is within 48 hours.
Shelter Support – Delhi,shelter,temporary_shelter,high,High,600,Delhi,Delhi,8,,tarpaulin|blankets,30,0,1,0,phone,temporary_shelter,medium,beginner,any,temporary_shelter,150,0,0,Need to set up temporary shelter for 150 displaced families in Delhi. Volunteers needed urgently
Shelter Support – Delhi,shelter,temporary_shelter,high,High,80,Delhi,Delhi,6,,tarpaulin|blankets,4,0,1,0,phone,temporary_shelter,medium,beginner,any,temporary_shelter,20,0,0,Need to set up temporary shelter for 20 displaced families in Delhi. Volunteers needed urgently
Education Volunteer Request – Bhopal,education,tutoring,low,Low,0,Bhopal,Madhya Pradesh,168,teaching,,100,0,0,0,whatsapp,tutoring,medium,regular,any,tutoring,0,1,0,Need 100 volunteer teachers for free coaching classes for underprivileged children in Bhopal
Education Volunteer Request – Surat,education,supplies_distribution,low,Low,150,Surat,Gujarat,72,,school_supplies|books,5,0,0,0,phone,supplies_distribution,medium,beginner,any,supplies_distribution,0,1,0,Distributing school supplies to 150 children in Surat. Need 5 volunteers. Situation is next week.
Logistics Volunteer Need – Coimbatore,logistics,patient_transport,high,High,0,Coimbatore,Tamil Nadu,12,driving,,50,1,0,1,phone,patient_transport,medium,beginner,any,patient_transport,0,0,1,Need 50 car/van volunteers to transport elderly people to hospital in Coimbatore
Logistics Volunteer Need – Indore,logistics,relief_transport,high,High,0,Indore,Madhya Pradesh,4,driving|logistics,,50,0,0,1,email,relief_transport,medium,beginner,any,relief_transport,0,0,0,Relief materials stuck at warehouse in Indore. Need 50 transport volunteers with vehicles within 4 hours
Childcare Support – Nagpur,childcare,orphan_support,high,High,30,Nagpur,Maharashtra,12,counseling|teaching,,6,0,1,0,email,orphan_support,medium,beginner,any,orphan_support,0,1,0,Need volunteers to care for 30 orphaned children in Nagpur disaster relief camp
Logistics Volunteer Need – Jaipur,logistics,patient_transport,high,High,0,Jaipur,Rajasthan,12,driving,,30,1,0,1,phone,patient_transport,medium,beginner,any,patient_transport,0,0,1,Need 30 car/van volunteers to transport elderly people to hospital in Jaipur
Logistics Volunteer Need – Kolkata,logistics,patient_transport,high,High,0,Kolkata,West Bengal,12,driving,,30,1,0,1,whatsapp,patient_transport,medium,beginner,any,patient_transport,0,0,1,Need 30 car/van volunteers to transport elderly people to hospital in Kolkata
Cleanup Drive – Pune,cleanup,community_cleanup,low,Low,0,Pune,Maharashtra,96,cleanup,,100,0,0,0,whatsapp,community_cleanup,medium,beginner,weekend,community_cleanup,0,0,0,Community cleanliness drive in Pune this Sunday. Need 100 enthusiastic volunteers. Situation is whenever.
Women Safety Support – Nagpur,women_safety,shelter_support,high,High,10,Nagpur,Maharashtra,48,counseling,,0,0,0,0,email,shelter_support,medium,beginner,any,shelter,0,1,0,Safe shelter needed for 10 women and children in Nagpur escaping domestic violence. Situation is urgently.
Cleanup Drive – Chennai,cleanup,disaster_cleanup,medium,Medium,0,Chennai,Tamil Nadu,6,cleanup|logistics,cleaning_supplies,50,0,1,0,whatsapp,disaster_cleanup,high,beginner,any,disaster_cleanup,0,0,0,Post-flood cleanup drive in Chennai. Need 50 volunteers with cleaning equipment
Water & Sanitation Help – Pune,water_sanitation,water_distribution,high,High,500,Pune,Maharashtra,12,,water_cans,10,0,0,1,email,water_distribution,medium,beginner,any,water_distribution,0,0,0,Water shortage in Pune. Need 10 volunteers for water distribution to 500 people. Situation is ASAP.
Mental Health Support – Nagpur,mental_health,trauma_counseling,high,High,75,Nagpur,Maharashtra,48,counseling,,0,0,1,0,whatsapp,trauma_counseling,medium,experienced,any,trauma_counseling,0,0,0,Trauma counseling needed for 75 disaster survivors in Nagpur. Need certified counselors
Shelter Support – Pune,shelter,temporary_shelter,high,High,40,Pune,Maharashtra,12,,tarpaulin|blankets,3,0,1,0,whatsapp,temporary_shelter,medium,beginner,any,temporary_shelter,10,0,0,Need to set up temporary shelter for 10 displaced families in Pune. Volunteers needed urgently. Situation is within 12 hours.
Childcare Support – Pune,childcare,orphan_support,high,High,150,Pune,Maharashtra,6,counseling|teaching,,30,0,1,0,email,orphan_support,medium,beginner,any,orphan_support,0,1,0,Need volunteers to care for 150 orphaned children in Pune disaster relief camp. Situation is urgently.
Water & Sanitation Help – Nashik,water_sanitation,water_distribution,high,High,2500,Nashik,Maharashtra,24,,water_cans,50,0,0,1,phone,water_distribution,medium,beginner,any,water_distribution,0,0,0,Water shortage in Nashik. Need 50 volunteers for water distribution to 2500 people. Situation is within 12 hours.
Medical Assistance Request – Patna,medical,vaccination_drive,medium,Medium,0,Patna,Bihar,48,medical|logistics,,30,0,0,0,phone,vaccination_drive,medium,beginner,any,vaccination_drive,0,0,0,Need 30 volunteers to assist in COVID vaccination drive in Patna. Situation is tomorrow.
Medical Assistance Request – Ahmedabad,medical,emergency_medical,critical,Critical,30,Ahmedabad,Gujarat,48,medical,,6,1,0,0,phone,emergency_medical,medium,beginner,any,emergency_medical,0,0,0,Medical emergency in Ahmedabad. 30 patients need immediate attention. Doctors and nurses required within 48 hours
Food Distribution Need – Patna,food_relief,ration_distribution,high,High,400,Patna,Bihar,8,,ration_packets,5,0,0,0,phone,ration_distribution,medium,beginner,any,ration_distribution,100,0,0,Ration distribution for 100 poor families in Patna. Need volunteers in 8 hours. Situation is urgently.
Animal Welfare Help – Coimbatore,animal_welfare,shelter_support,low,Low,0,Coimbatore,Tamil Nadu,72,,,75,0,0,0,whatsapp,shelter_support,medium,beginner,any,shelter_support,0,0,0,Animal shelter in Coimbatore needs 75 volunteers for feeding and care. Situation is next week.
Disaster Relief Support – Kochi,disaster_relief,rescue_operation,critical,Critical,20,Kochi,Kerala,48,rescue|driving,,0,0,1,1,whatsapp,rescue_operation,medium,beginner,any,rescue_operation,0,0,0,Landslide in Kochi has displaced 20 people. Need rescue and relief within 48 hours
Education Volunteer Request – Kochi,education,supplies_distribution,low,Low,50,Kochi,Kerala,72,,school_supplies|books,2,0,0,0,email,supplies_distribution,medium,beginner,any,supplies_distribution,0,1,0,Distributing school supplies to 50 children in Kochi. Need 2 volunteers. Situation is whenever.
Disaster Relief Support – Lucknow,disaster_relief,earthquake_relief,critical,Critical,50,Lucknow,Uttar Pradesh,4,,food|medicine|first_aid,0,1,1,1,whatsapp,earthquake_relief,medium,beginner,any,earthquake_relief,0,0,0,Earthquake relief camp in Lucknow. 50 survivors need medical aid and food within 4 hours
Animal Welfare Help – Patna,animal_welfare,animal_rescue,medium,Medium,0,Patna,Bihar,72,rescue|medical,,200,0,1,0,email,animal_rescue,medium,beginner,any,animal_rescue,0,0,0,Stray animals injured in floods in Patna. Need 200 volunteers for rescue and care. Situation is tomorrow.
Disaster Relief Support – Patna,disaster_relief,cyclone_relief,critical,Critical,120,Patna,Bihar,12,,food|shelter|blankets,0,0,1,1,email,cyclone_relief,medium,beginner,any,cyclone_relief,30,0,0,Cyclone affected 30 families in Patna need immediate shelter and food. Urgent help needed in 12 hours
Admin Volunteer Need – Lucknow,administration,data_entry,low,Low,0,Lucknow,Uttar Pradesh,168,data_entry,,100,0,0,0,whatsapp,data_entry,low,beginner,any,data_entry,0,0,0,Need 100 volunteers for data entry and documentation work for NGO in Lucknow. Situation is no rush.
Education Volunteer Request – Kolkata,education,tutoring,low,Low,0,Kolkata,West Bengal,168,teaching,,100,0,0,0,whatsapp,tutoring,medium,regular,any,tutoring,0,1,0,Need 100 volunteer teachers for free coaching classes for underprivileged children in Kolkata
Childcare Support – Hyderabad,childcare,orphan_support,high,High,20,Hyderabad,Telangana,72,counseling|teaching,,4,0,1,0,whatsapp,orphan_support,medium,beginner,any,orphan_support,0,1,0,Need volunteers to care for 20 orphaned children in Hyderabad disaster relief camp
Medical Assistance Request – Visakhapatnam,medical,vaccination_drive,medium,Medium,0,Visakhapatnam,Andhra Pradesh,48,medical|logistics,,150,0,0,0,phone,vaccination_drive,medium,beginner,any,vaccination_drive,0,0,0,Need 150 volunteers to assist in COVID vaccination drive in Visakhapatnam
Shelter Support – Surat,shelter,temporary_shelter,high,High,600,Surat,Gujarat,24,,tarpaulin|blankets,30,0,1,0,phone,temporary_shelter,medium,beginner,any,temporary_shelter,150,0,0,Need to set up temporary shelter for 150 displaced families in Surat. Volunteers needed urgently
Medical Assistance Request – Mumbai,medical,emergency_medical,critical,Critical,10,Mumbai,Maharashtra,24,medical,,2,1,0,0,phone,emergency_medical,medium,beginner,any,emergency_medical,0,0,0,Medical emergency in Mumbai. 10 patients need immediate attention. Doctors and nurses required within 24 hours. Situation is urgent now.
Women Safety Support – Kochi,women_safety,shelter_support,high,High,75,Kochi,Kerala,6,counseling,,0,0,0,0,whatsapp,shelter_support,medium,beginner,any,shelter,0,1,0,Safe shelter needed for 75 women and children in Kochi escaping domestic violence. Situation is ASAP.
Shelter Support – Mumbai,shelter,winter_relief,medium,Medium,100,Mumbai,Maharashtra,48,,blankets|warm_clothing,0,0,0,0,whatsapp,winter_relief,medium,beginner,any,winter_relief,0,0,0,Winter clothing and blankets needed for 100 homeless people in Mumbai. Situation is within 48 hours.
Food Distribution Need – Surat,food_relief,food_distribution,high,High,0,Surat,Gujarat,24,food_distribution|logistics,,100,0,0,0,whatsapp,food_distribution,medium,beginner,morning,food_distribution,0,0,0,Need 100 volunteers for food distribution in Surat tomorrow morning
Fundraising Drive – Nashik,fundraising,donation_drive,medium,Medium,0,Nashik,Maharashtra,72,logistics,,75,0,0,0,email,donation_drive,medium,beginner,any,donation_drive,0,0,0,Fundraising drive for flood victims in Nashik. Need 75 volunteers for door-to-door campaign
Disaster Relief Support – Ahmedabad,disaster_relief,flood_relief,critical,Critical,75,Ahmedabad,Gujarat,4,,food|blankets,0,0,1,1,phone,flood_relief,medium,beginner,any,disaster_relief,0,0,0,"Flood relief needed for 75 people in Ahmedabad, need food and blankets urgently within 4 hours. Situation is urgent now."
Fundraising Drive – Indore,fundraising,donation_drive,medium,Medium,0,Indore,Madhya Pradesh,72,logistics,,75,0,0,0,whatsapp,donation_drive,medium,beginner,any,donation_drive,0,0,0,Fundraising drive for flood victims in Indore. Need 75 volunteers for door-to-door campaign
Elderly Care Support – Nagpur,elderly_care,care_home_support,medium,Medium,0,Nagpur,Maharashtra,48,counseling|medical,,100,0,0,0,phone,care_home_support,medium,beginner,any,care_home_support,0,0,1,Elderly care home in Nagpur needs 100 volunteers for daily assistance and companionship
Mental Health Support – Nagpur,mental_health,trauma_counseling,high,High,30,Nagpur,Maharashtra,12,counseling,,0,0,1,0,email,trauma_counseling,medium,experienced,any,trauma_counseling,0,0,0,Trauma counseling needed for 30 disaster survivors in Nagpur. Need certified counselors
Food Distribution Need – Mumbai,food_relief,food_distribution,high,High,0,Mumbai,Maharashtra,24,food_distribution|logistics,,10,0,0,0,email,food_distribution,medium,beginner,morning,food_distribution,0,0,0,Need 10 volunteers for food distribution in Mumbai tomorrow morning. Situation is today.
Admin Volunteer Need – Kochi,administration,data_entry,low,Low,0,Kochi,Kerala,168,data_entry,,20,0,0,0,email,data_entry,low,beginner,any,data_entry,0,0,0,Need 20 volunteers for data entry and documentation work for NGO in Kochi
Logistics Volunteer Need – Kolkata,logistics,medicine_delivery,high,High,0,Kolkata,West Bengal,8,driving|logistics,,10,1,0,1,email,medicine_delivery,medium,beginner,evening,medicine_delivery,0,0,0,Need 10 volunteers with bikes to deliver medicine in Kolkata tonight. Situation is urgently.
Logistics Volunteer Need – Delhi,logistics,patient_transport,high,High,0,Delhi,Delhi,12,driving,,10,1,0,1,phone,patient_transport,medium,beginner,any,patient_transport,0,0,1,Need 10 car/van volunteers to transport elderly people to hospital in Delhi. Situation is today.
Elderly Care Support – Pune,elderly_care,home_visits,medium,Medium,150,Pune,Maharashtra,72,counseling,,50,0,0,0,phone,home_visits,medium,beginner,any,home_visits,0,0,1,Need 50 volunteers to visit and assist 150 elderly people living alone in Pune
Mental Health Support – Ahmedabad,mental_health,awareness_camp,low,Low,0,Ahmedabad,Gujarat,72,counseling|teaching,,10,0,0,0,phone,awareness_camp,medium,beginner,weekend,awareness_camp,0,0,0,Mental health awareness camp in Ahmedabad needs 10 volunteer counselors this weekend
Mental Health Support – Indore,mental_health,trauma_counseling,high,High,200,Indore,Madhya Pradesh,48,counseling,,0,0,1,0,whatsapp,trauma_counseling,medium,experienced,any,trauma_counseling,0,0,0,Trauma counseling needed for 200 disaster survivors in Indore. Need certified counselors. Situation is tonight.
Food Distribution Need – Nashik,food_relief,ration_distribution,high,High,80,Nashik,Maharashtra,6,,ration_packets,2,0,0,0,email,ration_distribution,medium,beginner,any,ration_distribution,20,0,0,Ration distribution for 20 poor families in Nashik. Need volunteers in 6 hours. Situation is within 12 hours.
Animal Welfare Help – Surat,animal_welfare,animal_rescue,medium,Medium,0,Surat,Gujarat,4,rescue|medical,,10,0,1,0,whatsapp,animal_rescue,medium,beginner,any,animal_rescue,0,0,0,Stray animals injured in floods in Surat. Need 10 volunteers for rescue and care
Disaster Relief Support – Ahmedabad,disaster_relief,flood_relief,critical,Critical,75,Ahmedabad,Gujarat,72,,food|blankets,0,0,1,1,phone,flood_relief,medium,beginner,any,disaster_relief,0,0,0,"Flood relief needed for 75 people in Ahmedabad, need food and blankets urgently within 72 hours"
Food Distribution Need – Bhopal,food_relief,community_kitchen,medium,Medium,0,Bhopal,Madhya Pradesh,48,food_distribution,,150,0,0,0,email,community_kitchen,medium,beginner,any,community_kitchen,0,0,0,Community kitchen in Bhopal needs 150 volunteers to cook meals for homeless people
Food Distribution Need – Nashik,food_relief,community_kitchen,medium,Medium,0,Nashik,Maharashtra,48,food_distribution,,200,0,0,0,whatsapp,community_kitchen,medium,beginner,any,community_kitchen,0,0,0,Community kitchen in Nashik needs 200 volunteers to cook meals for homeless people
Shelter Support – Indore,shelter,temporary_shelter,high,High,600,Indore,Madhya Pradesh,8,,tarpaulin|blankets,30,0,1,0,email,temporary_shelter,medium,beginner,any,temporary_shelter,150,0,0,Need to set up temporary shelter for 150 displaced families in Indore. Volunteers needed urgently
Disaster Relief Support – Indore,disaster_relief,flood_relief,critical,Critical,50,Indore,Madhya Pradesh,6,,food|blankets,0,0,1,1,phone,flood_relief,medium,beginner,any,disaster_relief,0,0,0,"Flood relief needed for 50 people in Indore, need food and blankets urgently within 6 hours. Situation is immediately."
Food Distribution Need – Ahmedabad,food_relief,ration_distribution,high,High,200,Ahmedabad,Gujarat,48,,ration_packets,2,0,0,0,email,ration_distribution,medium,beginner,any,ration_distribution,50,0,0,Ration distribution for 50 poor families in Ahmedabad. Need volunteers in 48 hours. Situation is today.
Awareness Campaign – Nashik,awareness,health_awareness,medium,Medium,0,Nashik,Maharashtra,72,teaching|counseling,,150,0,0,0,whatsapp,health_awareness,medium,beginner,any,health_awareness,0,0,0,Awareness campaign about dengue fever prevention in Nashik. Need 150 volunteers. Situation is soon.
Childcare Support – Kochi,childcare,orphan_support,high,High,30,Kochi,Kerala,8,counseling|teaching,,6,0,1,0,email,orphan_support,medium,beginner,any,orphan_support,0,1,0,Need volunteers to care for 30 orphaned children in Kochi disaster relief camp
Mental Health Support – Kochi,mental_health,trauma_counseling,high,High,200,Kochi,Kerala,72,counseling,,0,0,1,0,email,trauma_counseling,medium,experienced,any,trauma_counseling,0,0,0,Trauma counseling needed for 200 disaster survivors in Kochi. Need certified counselors. Situation is today.
Animal Welfare Help – Nashik,animal_welfare,animal_rescue,medium,Medium,0,Nashik,Maharashtra,24,rescue|medical,,30,0,1,0,phone,animal_rescue,medium,beginner,any,animal_rescue,0,0,0,Stray animals injured in floods in Nashik. Need 30 volunteers for rescue and care
Education Volunteer Request – Jaipur,education,supplies_distribution,low,Low,20,Jaipur,Rajasthan,72,,school_supplies|books,2,0,0,0,phone,supplies_distribution,medium,beginner,any,supplies_distribution,0,1,0,Distributing school supplies to 20 children in Jaipur. Need 2 volunteers
Mental Health Support – Mumbai,mental_health,awareness_camp,low,Low,0,Mumbai,Maharashtra,72,counseling|teaching,,200,0,0,0,whatsapp,awareness_camp,medium,beginner,weekend,awareness_camp,0,0,0,Mental health awareness camp in Mumbai needs 200 volunteer counselors this weekend
Childcare Support – Pune,childcare,childcare_support,medium,Medium,10,Pune,Maharashtra,48,teaching|counseling,,2,0,0,0,phone,childcare_support,medium,beginner,any,childcare_support,0,1,0,Childcare support needed at relief camp in Pune for 10 children while parents work. Situation is tomorrow.
Disaster Relief Support – Mumbai,disaster_relief,rescue_operation,critical,Critical,150,Mumbai,Maharashtra,24,rescue|driving,,0,0,1,1,whatsapp,rescue_operation,medium,beginner,any,rescue_operation,0,0,0,Landslide in Mumbai has displaced 150 people. Need rescue and relief within 24 hours
Medical Assistance Request – Bhopal,medical,vaccination_drive,medium,Medium,0,Bhopal,Madhya Pradesh,48,medical|logistics,,20,0,0,0,whatsapp,vaccination_drive,medium,beginner,any,vaccination_drive,0,0,0,Need 20 volunteers to assist in COVID vaccination drive in Bhopal
Food Distribution Need – Delhi,food_relief,ration_distribution,high,High,600,Delhi,Delhi,8,,ration_packets,7,0,0,0,email,ration_distribution,medium,beginner,any,ration_distribution,150,0,0,Ration distribution for 150 poor families in Delhi. Need volunteers in 8 hours. Situation is within 12 hours.
Disaster Relief Support – Lucknow,disaster_relief,cyclone_relief,critical,Critical,200,Lucknow,Uttar Pradesh,6,,food|shelter|blankets,0,0,1,1,phone,cyclone_relief,medium,beginner,any,cyclone_relief,50,0,0,Cyclone affected 50 families in Lucknow need immediate shelter and food. Urgent help needed in 6 hours
Disaster Relief Support – Patna,disaster_relief,cyclone_relief,critical,Critical,40,Patna,Bihar,8,,food|shelter|blankets,0,0,1,1,whatsapp,cyclone_relief,medium,beginner,any,cyclone_relief,10,0,0,Cyclone affected 10 families in Patna need immediate shelter and food. Urgent help needed in 8 hours. Situation is critical.
Water & Sanitation Help – Mumbai,water_sanitation,sanitation,high,High,0,Mumbai,Maharashtra,12,cleanup,,100,0,1,0,email,sanitation,medium,beginner,any,sanitation,0,0,0,Sanitation drive needed at flood relief camp in Mumbai. 100 volunteers required immediately. Situation is tonight.
Animal Welfare Help – Bhopal,animal_welfare,animal_rescue,medium,Medium,0,Bhopal,Madhya Pradesh,8,rescue|medical,,200,0,1,0,phone,animal_rescue,medium,beginner,any,animal_rescue,0,0,0,Stray animals injured in floods in Bhopal. Need 200 volunteers for rescue and care
Food Distribution Need – Nagpur,food_relief,community_kitchen,medium,Medium,0,Nagpur,Maharashtra,48,food_distribution,,100,0,0,0,email,community_kitchen,medium,beginner,any,community_kitchen,0,0,0,Community kitchen in Nagpur needs 100 volunteers to cook meals for homeless people
Admin Volunteer Need – Kochi,administration,data_entry,low,Low,0,Kochi,Kerala,168,data_entry,,50,0,0,0,email,data_entry,low,beginner,any,data_entry,0,0,0,Need 50 volunteers for data entry and documentation work for NGO in Kochi. Situation is next week.
Education Volunteer Request – Chennai,education,supplies_distribution,low,Low,100,Chennai,Tamil Nadu,72,,school_supplies|books,3,0,0,0,email,supplies_distribution,medium,beginner,any,supplies_distribution,0,1,0,Distributing school supplies to 100 children in Chennai. Need 3 volunteers
Shelter Support – Kochi,shelter,winter_relief,medium,Medium,20,Kochi,Kerala,48,,blankets|warm_clothing,0,0,0,0,email,winter_relief,medium,beginner,any,winter_relief,0,0,0,Winter clothing and blankets needed for 20 homeless people in Kochi. Situation is tomorrow.
Logistics Volunteer Need – Coimbatore,logistics,patient_transport,high,High,0,Coimbatore,Tamil Nadu,12,driving,,75,1,0,1,email,patient_transport,medium,beginner,any,patient_transport,0,0,1,Need 75 car/van volunteers to transport elderly people to hospital in Coimbatore. Situation is ASAP.
