task_title,task_description,task_category,location,disaster_type,requested_volunteers_count,deadline_hours,created_hour,ngo_manual_urgency,priority_label
Psychosocial support volunteers needed this week,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Medical,Pune,Flood,3,30,17,high,High
Website update volunteer needed,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Fundraising,Andhra Pradesh,None,2,168,15,low,Low
Transport volunteers for weekly supply delivery,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Psychosocial Support,Kerala,Flood,9,48,10,low,Medium
Legal aid camp volunteers needed next few days,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Logistics & Transport,West Bengal,None,4,96,11,medium,Medium
Volunteers needed tomorrow for ration distribution,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Logistics & Transport,Bihar,Cyclone,3,48,9,high,High
Urgent medical volunteers needed at flood relief camp,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Logistics & Transport,Karnataka,Landslide,4,4,17,critical,Critical
Transport volunteers for weekly supply delivery,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Logistics & Transport,Bihar,None,2,120,8,low,Medium
Emergency medical aid volunteers for flood victims,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Logistics & Transport,Odisha,Flood,1,8,15,critical,Critical
Volunteers needed tomorrow for ration distribution,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Sanitation,Kerala,None,3,48,15,high,High
Video editing volunteer for awareness campaign,"Administrative support needed at our main office. Tasks include data entry, filing, and basic computer work. Flexible timing next week.",Administration,Mumbai,None,1,336,11,low,Low
Emergency relief – medical camp setup tonight,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Logistics & Transport,Rajasthan,Earthquake,5,6,6,critical,Critical
Medical camp volunteers needed this week,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Food & Nutrition,Odisha,Flood,3,18,14,high,High
Community survey volunteers for planning phase,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Education,Guwahati,None,4,120,13,low,Low
Awareness campaign volunteers needed this Saturday,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Skill Training,Uttarakhand,None,2,120,15,high,Medium
Emergency food and water distribution in disaster zone,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Food & Nutrition,West Bengal,Flood,4,8,5,critical,Critical
Emergency relief – medical camp setup tonight,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Logistics & Transport,Karnataka,None,6,3,2,high,Critical
Critical: trauma support volunteers needed at hospital,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Rescue & Evacuation,Pune,Landslide,4,3,5,critical,Critical
Medical camp volunteers needed this week,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Shelter,Gujarat,Cyclone,3,24,8,high,High
Rescue team needed near landslide zone tonight,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Medical,Odisha,Landslide,1,2,18,critical,Critical
Critical: trauma support volunteers needed at hospital,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Food & Nutrition,Gujarat,Cyclone,5,12,1,critical,Critical
Health camp registration volunteers needed Sunday,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Psychosocial Support,Bihar,Flood,2,48,9,medium,Medium
Educational material sorting volunteers needed next week,Data entry volunteer needed to digitize paper records over 2-3 weeks. Can work from home at own pace.,Fundraising,Bihar,None,1,504,10,low,Low
Critical medicine delivery volunteers needed today,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Medical,Bihar,None,3,6,16,high,Critical
Sanitation volunteers needed at relief camp,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Medical,Bihar,Flood,6,12,14,critical,High
Volunteers needed this weekend for donation packaging,"Weekend donation packaging drive for hygiene kits. Need 6 volunteers to sort, pack, and label kits at our warehouse on Saturday.",Logistics & Transport,Karnataka,None,10,96,16,high,Medium
Help needed for refugee documentation support,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Skill Training,Odisha,Flood,10,72,11,medium,Medium
Transport volunteers for weekly supply delivery,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Food & Nutrition,Mumbai,None,7,72,11,medium,Medium
Emergency medical aid volunteers for flood victims,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Medical,Mumbai,Earthquake,2,1,20,critical,Critical
Critical: trauma support volunteers needed at hospital,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Rescue & Evacuation,West Bengal,Flood,3,3,21,critical,Critical
Social media content creation volunteer needed,"Administrative support needed at our main office. Tasks include data entry, filing, and basic computer work. Flexible timing next week.",Awareness,Madhya Pradesh,None,1,168,11,low,Medium
Food distribution volunteers needed this evening,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Medical,Andhra Pradesh,Flood,8,30,12,high,High
Life-threatening situation – rescue volunteers needed NOW,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Logistics & Transport,Karnataka,Flood,2,1,19,critical,Critical
Transport volunteers for weekly supply delivery,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Psychosocial Support,Andhra Pradesh,Flood,9,72,13,medium,Medium
Data entry volunteers needed next month,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Education,Uttarakhand,None,3,240,9,low,Low
Sanitation volunteers needed at relief camp,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Shelter,Himachal Pradesh,None,4,18,19,high,Medium
Video editing volunteer for awareness campaign,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Awareness,Himachal Pradesh,None,4,240,14,low,Low
Rescue team needed near landslide zone tonight,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Rescue & Evacuation,Pune,Earthquake,5,4,17,critical,Critical
Community kitchen volunteers needed this week,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Skill Training,Kerala,None,3,120,14,medium,Medium
Urgent: temporary shelter construction volunteers,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Sanitation,Kerala,Cyclone,7,24,9,medium,High
Legal aid camp volunteers needed next few days,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Skill Training,Gujarat,None,9,72,10,high,Medium
Community kitchen volunteers needed this week,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Awareness,Karnataka,None,9,120,11,high,Medium
Awareness campaign volunteers needed this Saturday,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Awareness,West Bengal,None,6,96,13,medium,Medium
Fundraising preparation volunteers next week,Research volunteer needed to help write our annual grant report. Need someone with writing skills. Work from home. No urgency.,Fundraising,Kerala,None,1,168,11,low,Low
Emergency relief – medical camp setup tonight,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Rescue & Evacuation,Uttarakhand,Earthquake,2,6,1,critical,Critical
Research assistant volunteer for grant writing,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Fundraising,Gujarat,None,3,504,16,low,Low
Emergency medical aid volunteers for flood victims,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Food & Nutrition,Himachal Pradesh,Landslide,4,8,7,critical,High
Skill training session support volunteers,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Awareness,Kerala,None,8,96,13,high,Medium
Emergency blood donors required immediately,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Rescue & Evacuation,Pune,Cyclone,1,3,19,critical,Critical
Water distribution support for flood-affected area,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Logistics & Transport,Chennai,Cyclone,7,36,9,critical,High
Relief camp logistics volunteers needed tomorrow,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Shelter,Uttarakhand,None,2,18,12,critical,High
Emergency blood donors required immediately,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Rescue & Evacuation,Karnataka,Cyclone,5,2,13,critical,Critical
Community kitchen volunteers needed this week,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Awareness,Pune,Flood,7,120,16,medium,Medium
Help needed for refugee documentation support,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Food & Nutrition,Bihar,Flood,4,120,18,medium,Medium
Donation collection drive volunteers this weekend,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Food & Nutrition,Bihar,None,5,48,17,medium,Low
Urgent: temporary shelter construction volunteers,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Sanitation,Odisha,Flood,5,36,6,high,High
Emergency medical aid volunteers for flood victims,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Food & Nutrition,Pune,Flood,5,1,13,critical,Critical
Video editing volunteer for awareness campaign,"Administrative support needed at our main office. Tasks include data entry, filing, and basic computer work. Flexible timing next week.",Education,Gujarat,None,4,120,17,medium,Low
Community kitchen volunteers needed this week,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Logistics & Transport,Uttarakhand,None,5,72,11,low,Medium
Research assistant volunteer for grant writing,Sorting and cataloguing donated educational materials for distribution next week. No special skills required. Indoor work.,Administration,Kerala,None,3,240,12,low,Low
Donation collection drive volunteers this weekend,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Food & Nutrition,Uttarakhand,Flood,9,96,17,medium,Medium
Emergency food and water distribution in disaster zone,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Medical,West Bengal,Flood,5,2,23,high,Critical
Volunteers needed this weekend for donation packaging,"Weekend donation packaging drive for hygiene kits. Need 6 volunteers to sort, pack, and label kits at our warehouse on Saturday.",Awareness,Chennai,Flood,10,120,9,medium,Medium
Rescue team needed near landslide zone tonight,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Food & Nutrition,Kerala,Flood,3,8,2,critical,Critical
Library books sorting volunteers this weekend,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Psychosocial Support,Andhra Pradesh,None,6,120,12,high,Medium
Transport volunteers for weekly supply delivery,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Awareness,Chennai,None,2,48,8,medium,Medium
Life-threatening situation – rescue volunteers needed NOW,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Rescue & Evacuation,Rajasthan,None,2,6,12,critical,High
Relief camp logistics volunteers needed tomorrow,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Shelter,Pune,None,7,24,17,high,High
Immediate evacuation support needed in cyclone area,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Logistics & Transport,West Bengal,Cyclone,4,4,18,critical,Critical
Emergency food and water distribution in disaster zone,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Medical,Uttarakhand,Earthquake,6,6,19,critical,Critical
Medical camp volunteers needed this week,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Logistics & Transport,Andhra Pradesh,Flood,3,18,6,critical,High
Data entry volunteers needed next month,Research volunteer needed to help write our annual grant report. Need someone with writing skills. Work from home. No urgency.,Administration,Uttarakhand,None,2,168,16,low,Low
Emergency blood donors required immediately,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Logistics & Transport,Mumbai,Flood,6,1,11,critical,Critical
Relief camp logistics volunteers needed tomorrow,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Sanitation,Himachal Pradesh,Flood,4,36,13,medium,High
Emergency food and water distribution in disaster zone,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Medical,Rajasthan,Flood,6,2,7,critical,Critical
Immediate evacuation support needed in cyclone area,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Rescue & Evacuation,Chennai,Landslide,3,4,0,critical,Critical
Urgent: temporary shelter construction volunteers,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Medical,Himachal Pradesh,None,6,12,6,high,High
Emergency blood donors required immediately,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Logistics & Transport,Uttarakhand,Cyclone,2,3,18,critical,Critical
Community survey volunteers for planning phase,Looking for a volunteer to manage our NGO social media for one month. Need someone with basic content creation skills.,Education,Bihar,None,1,504,15,low,Low
Volunteer coordinator assistant needed,Sorting and cataloguing donated educational materials for distribution next week. No special skills required. Indoor work.,Education,West Bengal,None,2,168,16,medium,Low
Video editing volunteer for awareness campaign,Research volunteer needed to help write our annual grant report. Need someone with writing skills. Work from home. No urgency.,Fundraising,Karnataka,None,3,120,11,low,Medium
Emergency medical aid volunteers for flood victims,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Medical,Chennai,Cyclone,2,3,4,critical,Critical
Social media content creation volunteer needed,Sorting and cataloguing donated educational materials for distribution next week. No special skills required. Indoor work.,Education,Chennai,None,2,120,11,low,Low
Medical camp volunteers needed this week,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Shelter,Assam,Flood,4,18,7,high,High
Volunteers needed tomorrow for ration distribution,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Sanitation,Bihar,None,3,18,6,high,High
Health camp registration volunteers needed Sunday,"Weekend donation packaging drive for hygiene kits. Need 6 volunteers to sort, pack, and label kits at our warehouse on Saturday.",Awareness,Bihar,None,9,96,16,medium,Medium
Emergency medical aid volunteers for flood victims,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Rescue & Evacuation,Madhya Pradesh,Cyclone,3,12,7,critical,High
Donation collection drive volunteers this weekend,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Psychosocial Support,Mumbai,None,7,120,12,medium,Medium
Volunteers needed tomorrow for ration distribution,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Shelter,Rajasthan,Cyclone,7,12,6,high,High
Food distribution volunteers needed this evening,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Food & Nutrition,Bihar,Flood,7,30,16,high,High
Food distribution volunteers needed this evening,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Shelter,Uttarakhand,None,7,36,20,high,High
Volunteers needed this weekend for donation packaging,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Logistics & Transport,Himachal Pradesh,None,5,72,11,low,Medium
Volunteers needed tomorrow for ration distribution,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Logistics & Transport,Rajasthan,None,7,12,18,critical,High
Data entry volunteers needed next month,Looking for a volunteer to manage our NGO social media for one month. Need someone with basic content creation skills.,Fundraising,Madhya Pradesh,None,3,168,15,low,Low
Urgent: temporary shelter construction volunteers,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Sanitation,Mumbai,Flood,6,18,21,high,High
Volunteer coordinator assistant needed,Sorting and cataloguing donated educational materials for distribution next week. No special skills required. Indoor work.,Fundraising,Uttarakhand,None,2,168,11,low,Low
Emergency relief – medical camp setup tonight,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Medical,Gujarat,Cyclone,2,2,13,critical,Critical
Urgent: temporary shelter construction volunteers,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Shelter,Himachal Pradesh,Flood,7,24,13,high,Critical
Awareness campaign volunteers needed this Saturday,"Weekend donation packaging drive for hygiene kits. Need 6 volunteers to sort, pack, and label kits at our warehouse on Saturday.",Food & Nutrition,Himachal Pradesh,None,6,72,15,medium,Medium
Volunteers needed tomorrow for ration distribution,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Medical,Assam,Flood,7,24,9,high,High
Educational material sorting volunteers needed next week,Sorting and cataloguing donated educational materials for distribution next week. No special skills required. Indoor work.,Administration,Gujarat,None,1,168,12,medium,Low
Transport volunteers for weekly supply delivery,"Weekend donation packaging drive for hygiene kits. Need 6 volunteers to sort, pack, and label kits at our warehouse on Saturday.",Logistics & Transport,Uttarakhand,None,4,48,16,medium,Medium
Video editing volunteer for awareness campaign,Data entry volunteer needed to digitize paper records over 2-3 weeks. Can work from home at own pace.,Education,Gujarat,None,3,120,11,low,Low
Help needed for refugee documentation support,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Food & Nutrition,Chennai,None,2,48,19,low,Medium
Website update volunteer needed,Looking for a volunteer to manage our NGO social media for one month. Need someone with basic content creation skills.,Fundraising,Chennai,None,1,336,15,low,Low
Critical: trauma support volunteers needed at hospital,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Food & Nutrition,Kerala,Earthquake,3,2,21,critical,Critical
Emergency blood donors required immediately,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Rescue & Evacuation,Karnataka,Flood,6,2,3,critical,Critical
Emergency food and water distribution in disaster zone,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Rescue & Evacuation,Kerala,Landslide,3,2,2,high,Critical
Rescue team needed near landslide zone tonight,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Logistics & Transport,Kerala,Landslide,6,6,20,critical,High
Critical: trauma support volunteers needed at hospital,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Food & Nutrition,Pune,Flood,3,8,16,critical,Critical
Health camp registration volunteers needed Sunday,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Logistics & Transport,Andhra Pradesh,None,10,120,14,high,High
Volunteers needed tomorrow for ration distribution,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Food & Nutrition,Gujarat,Flood,8,36,18,high,High
Food distribution volunteers needed this evening,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Medical,Uttarakhand,Cyclone,2,36,7,medium,Critical
Social media content creation volunteer needed,"Administrative support needed at our main office. Tasks include data entry, filing, and basic computer work. Flexible timing next week.",Fundraising,West Bengal,None,1,120,14,low,Low
Donation collection drive volunteers this weekend,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Logistics & Transport,Bihar,None,3,120,17,medium,Medium
Social media content creation volunteer needed,"Administrative support needed at our main office. Tasks include data entry, filing, and basic computer work. Flexible timing next week.",Fundraising,Guwahati,None,1,336,14,low,Low
Urgent: stranded flood victims need immediate help,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Medical,Assam,Cyclone,5,12,14,critical,Critical
Relief camp logistics volunteers needed tomorrow,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Medical,Karnataka,None,2,48,16,high,High
Help needed for refugee documentation support,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Food & Nutrition,Bihar,None,9,72,19,medium,Medium
Medical camp volunteers needed this week,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Sanitation,Chennai,Flood,5,30,13,high,High
Water distribution support for flood-affected area,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Shelter,Mumbai,Cyclone,3,48,16,medium,High
Emergency blood donors required immediately,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Logistics & Transport,Odisha,Landslide,4,2,23,critical,Critical
Sanitation volunteers needed at relief camp,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Sanitation,Odisha,Cyclone,8,30,6,high,High
Urgent: stranded flood victims need immediate help,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Medical,Gujarat,Flood,4,8,1,critical,Critical
Life-threatening situation – rescue volunteers needed NOW,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Medical,Madhya Pradesh,Cyclone,4,12,16,critical,Critical
Health camp registration volunteers needed Sunday,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Skill Training,Bihar,None,8,120,13,high,Medium
Urgent medical volunteers needed at flood relief camp,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Rescue & Evacuation,Andhra Pradesh,Landslide,2,3,8,critical,Critical
Library books sorting volunteers this weekend,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Awareness,Assam,None,8,96,15,medium,High
Psychosocial support volunteers needed this week,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Sanitation,Pune,Cyclone,7,24,7,high,High
Food distribution volunteers needed this evening,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Medical,Mumbai,Flood,4,30,12,high,High
Help needed for refugee documentation support,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Logistics & Transport,Gujarat,None,3,96,19,medium,Medium
Food distribution volunteers needed this evening,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Medical,Karnataka,Flood,7,30,19,critical,High
Emergency blood donors required immediately,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Logistics & Transport,Andhra Pradesh,None,4,8,12,critical,High
Medical camp volunteers needed this week,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Sanitation,Gujarat,None,6,30,8,high,High
Library books sorting volunteers this weekend,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Psychosocial Support,Kerala,None,10,72,12,medium,Medium
Emergency blood donors required immediately,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Food & Nutrition,Karnataka,Flood,1,6,12,critical,High
Educational material sorting volunteers needed next week,Sorting and cataloguing donated educational materials for distribution next week. No special skills required. Indoor work.,Administration,West Bengal,None,2,336,10,low,Low
Donation collection drive volunteers this weekend,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Skill Training,Mumbai,None,7,48,12,medium,Medium
Emergency medical aid volunteers for flood victims,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Food & Nutrition,Odisha,None,4,12,6,critical,Critical
Educational material sorting volunteers needed next week,Research volunteer needed to help write our annual grant report. Need someone with writing skills. Work from home. No urgency.,Administration,Mumbai,None,2,168,14,low,Low
Urgent medical volunteers needed at flood relief camp,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Rescue & Evacuation,West Bengal,Flood,6,8,12,critical,Critical
Shelter setup support needed by tomorrow morning,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Food & Nutrition,Bihar,Flood,2,18,12,high,High
Awareness campaign volunteers needed this Saturday,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Skill Training,Madhya Pradesh,None,5,96,8,medium,Medium
Community survey volunteers for planning phase,Data entry volunteer needed to digitize paper records over 2-3 weeks. Can work from home at own pace.,Awareness,Pune,None,3,240,9,low,Low
Food distribution volunteers needed this evening,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Medical,Andhra Pradesh,Flood,8,12,14,high,High
Urgent rescue operation – volunteers needed immediately,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Medical,West Bengal,Cyclone,1,2,2,critical,Critical
Urgent: stranded flood victims need immediate help,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Logistics & Transport,Rajasthan,Cyclone,2,12,7,critical,Critical
Urgent medical volunteers needed at flood relief camp,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Medical,Rajasthan,Flood,2,3,12,critical,Critical
Urgent: stranded flood victims need immediate help,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Food & Nutrition,Assam,Flood,2,8,3,critical,Critical
Critical: trauma support volunteers needed at hospital,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Food & Nutrition,Guwahati,Earthquake,3,8,12,critical,Critical
Transport volunteers for weekly supply delivery,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Awareness,Bihar,Flood,9,72,10,low,High
Immediate evacuation support needed in cyclone area,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Rescue & Evacuation,Andhra Pradesh,Landslide,4,8,15,critical,Critical
Donation collection drive volunteers this weekend,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Psychosocial Support,West Bengal,None,7,96,10,high,Medium
Help needed for refugee documentation support,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Awareness,Karnataka,None,9,96,14,medium,Medium
Sanitation volunteers needed at relief camp,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Food & Nutrition,Himachal Pradesh,Cyclone,5,36,16,high,High
Skill training session support volunteers,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Skill Training,Uttarakhand,Flood,7,96,19,medium,Medium
Critical: trauma support volunteers needed at hospital,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Logistics & Transport,Bihar,Landslide,1,8,8,critical,High
